stateid,year,gdp millions,gdpgrowth,population,net sales of gasoline,gross sales of gasoline,net sales of diesel oil,vehicles sales monthly (units),vehicles sales monthly (th $),vehicles sales yearly (units),vehicles sales yearly (th $),cpi,co2 total,co2 household,co2 industries,trans_exp_pc,unemp_rate,state
1,1999,"1,374,179",,30492106,36219491,37912424,12726671,132561,4071365,1590732,48856380,93.7,707403,127949,579454,,,Canada
1,2000,"1,445,398",0.0518,30783969,36375338,38176681,13179694,116162,3440493,1393944,41285916,96.7,731021,126505,604516,,6.9,Canada
1,2001,"1,470,999",0.0177,31129119,36552556,38126164,13336346,135801,4102396,1629612,49228752,97.4,720942,132566,588376,,8.1,Canada
1,2002,"1,515,277",0.0301,31451764,37949600,39205669,13737648,143312,4410106,1719744,52921272,101.1,724083,131952,592131,,7.6,Canada
1,2003,"1,542,578",0.018,31737869,38421608,39797315,14720634,112870,3650085,1354440,43801020,103.2,741472,132987,608485,,7.4,Canada
1,2004,"1,590,186",0.0309,32039959,38911752,40146013,15671144,117822,3856608,1413864,46279296,105.4,743522,134012,609510,,7.2,Canada
1,2005,"1,641,090",0.032,32353968,38484324,39845934,16216420,121408,4009693,1456896,48116316,107.6,730981,132397,598584,,6.6,Canada
1,2006,"1,684,145",0.0262,32680712,38653955,39918335,16611819,131157,4423928,1573884,53087136,109.4,721710,135266,586444,416.8,6.2,Canada
1,2007,"1,718,880",0.0206,33002138,39635182,40848495,17133467,122954,4159628,1475448,49915536,112,744498,135911,608587,507.6,6.1,Canada
1,2008,"1,736,086",0.01,33372418,39148560,40496036,16555321,97164,3188261,1165968,38259132,113.3,723562,136523,587039,505.1,6.9,Canada
1,2009,"1,684,881",-0.0295,33757077,39708461,41028454,16188394,113613,3805490,1363356,45665880,114.8,716994,137941,579052,465,8.5,Canada
1,2010,"1,736,820",0.0308,34131683,40101125,41452699,16778508,114376,4105026,1372512,49260312,117.5,733536,139832,593704,478.6,7.6,Canada
1,2011,"1,791,389",0.0314,34457998,40412210,42076411,17797512,117863,3974503,1414356,47694036,120.2,739943,144337,595606,467,7.5,Canada
1,2012,"1,822,808",0.0175,34836008,40444101,42032522,17455650,111881,3866028,1342572,46392336,121.2,745205,140681,604524,567.9,7.2,Canada
1,2013,"1,865,095",0.0232,35211866,41449632,42902507,17893224,115368,4166792,1384416,50001504,122.7,756067,145852,610215,637,7.3,Canada
1,2014,"1,918,419",0.0286,35559047,41418428,42651789,18118660,134829,5009469,1617948,60113628,124.5,757843,145403,612440,630.1,6.7,Canada
1,2015,"1,931,354",0.0067,35822894,42559552,44576655,17993880,132218,5126074,1586616,61512888,126.5,758091,142810,615281,680.1,7.3,Canada
1,2016,"1,952,608",0.011,36256107,42780095,45085270,17017242,128352,5268834,1540224,63226008,128.4,746759,141660,605099,731.9,7,Canada
1,2017,"2,010,894",0.0299,36712658,43616892,44931111,18016829,127734,5530452,1532808,66365424,130.8,747210,139084,608126,747.2,5.8,Canada
2,1999,"3,369",,40579,39260,50913,99851,,,,,94.8,,,,,,Northwest Territories
2,2000,"3,594",0.0668,40575,34431,43657,97082,,,,,96.3,,,,,,Northwest Territories
2,2001,"4,349",0.2101,41173,32936,39885,94313,,,,,97.2,,,,,,Northwest Territories
2,2002,"4,654",0.0701,41874,37654,42748,90190,,,,,102,,,,,,Northwest Territories
2,2003,"5,270",0.1324,42857,39699,48644,86890,,,,,103.2,,,,,,Northwest Territories
2,2004,"5,404",0.0254,43352,39955,50626,101291,,,,,105,,,,,,Northwest Territories
2,2005,"5,348",-0.0104,43526,37005,48608,133768,,,,,107.8,,,,,,Northwest Territories
2,2006,"5,354",0.0011,43197,37250,46724,113045,,,,,108.4,,,,2298.3,,Northwest Territories
2,2007,"5,841",0.091,43262,38855,47898,162327,,,,,111.9,,,,2286.7,,Northwest Territories
2,2008,"5,292",-0.094,43293,37312,46939,112391,,,,,115.4,,,,2891.8,,Northwest Territories
2,2009,"4,721",-0.1079,42924,38149,47289,86013,,,,,116.8,1450,174,1277,3841.9,,Northwest Territories
2,2010,"4,844",0.0261,43303,42959,49706,65588,,,,,119.2,1611,142,1470,8148.6,,Northwest Territories
2,2011,"4,408",-0.09,43593,42415,48129,104541,,,,,123.4,1687,170,1517,4832.9,,Northwest Territories
2,2012,"4,392",-0.0036,43681,40751,49061,93260,,,,,124.8,1799,148,1651,4697.2,,Northwest Territories
2,2013,"4,519",0.0289,43756,39618,49744,84550,,,,,126.6,1655,146,1509,5969.5,,Northwest Territories
2,2014,"4,732",0.0471,44064,38396,47355,95019,,,,,128.7,1804,159,1645,7920.8,,Northwest Territories
2,2015,"4,775",0.0091,44428,40193,47743,109688,,,,,130.6,1973,172,1801,7317.8,,Northwest Territories
2,2016,"4,827",0.0109,44556,45588,53776,125682,,,,,131.9,1865,141,1725,6917.8,,Northwest Territories
2,2017,"5,004",0.0367,45097,42568,53766,137931,,,,,135.1,,,,,,Northwest Territories
3,1999,"1,256",,26997,7591,7591,2461,,,,,,,,,,,Nunavut
3,2000,"1,309",0.0422,27683,9869,9869,2945,,,,,,,,,,,Nunavut
3,2001,"1,394",0.0649,28180,9482,9482,3331,,,,,,,,,,,Nunavut
3,2002,"1,425",0.0222,28864,10941,10941,4318,,,,,100,,,,,,Nunavut
3,2003,"1,424",-0.0007,29371,10809,10809,4323,,,,,100.5,,,,,,Nunavut
3,2004,"1,491",0.0471,29807,11478,11478,4906,,,,,102.2,,,,,,Nunavut
3,2005,"1,482",-0.006,30407,23367,23367,4682,,,,,103.6,,,,,,Nunavut
3,2006,"1,497",0.0101,30879,12016,12016,5188,,,,,105.7,,,,816.1,,Nunavut
3,2007,"1,619",0.0815,31560,17179,17179,6360,,,,,108.7,,,,1508.1,,Nunavut
3,2008,"1,851",0.1433,31963,17687,17687,5966,,,,,112.4,,,,1434,,Nunavut
3,2009,"1,722",-0.0697,32811,22992,22991,5248,,,,,111.3,454,32,422,1012.4,,Nunavut
3,2010,"2,040",0.1847,33570,12291,12291,7548,,,,,112.1,468,34,434,1193.3,,Nunavut
3,2011,"2,149",0.0534,34352,19332,19332,8533,,,,,114.2,473,36,438,1140.5,,Nunavut
3,2012,"2,198",0.0228,34842,34697,34697,10424,,,,,115.1,513,38,475,1714.2,,Nunavut
3,2013,"2,408",0.0955,35543,13903,13903,9168,,,,,116.2,663,42,621,3474,,Nunavut
3,2014,"2,378",-0.0125,36105,20655,20655,9266,,,,,117.9,663,68,595,2520.9,,Nunavut
3,2015,"2,372",-0.0025,36603,20283,20283,11474,,,,,120.8,592,79,513,3453.5,,Nunavut
3,2016,"2,463",0.0384,37041,25118,25118,19916,,,,,123.8,695,78,617,3687.2,,Nunavut
3,2017,"2,704",0.0978,37773,15507,15507,22994,,,,,126,,,,,,Nunavut
4,1999,"1,535",,30608,67853,70128,40410,,,,,,,,,,,Yukon
4,2000,"1,587",0.0339,30294,62121,63661,43621,,,,,,,,,,,Yukon
4,2001,"1,658",0.0447,30076,60731,62833,39127,,,,,,,,,,,Yukon
4,2002,"1,642",-0.0097,30266,64722,66682,41786,,,,,,,,,,,Yukon
4,2003,"1,624",-0.011,31218,63844,65787,37448,,,,,,,,,,,Yukon
